SWL,ALW,GCB,SCB,GGBL,MLC,PBC,UNIL,HFC,CMLT,FML
264.0,1412.5,547.0,436.0,54.5,52.0,515.0,1240.0,103.0,413.3333333333333,120.0
264.0,1412.5,547.0,436.0,60.5,52.0,515.0,1240.0,103.0,413.3333333333333,119.0
264.0,1412.5,547.0,436.0,66.5,52.0,515.0,1170.0,103.0,413.3333333333333,109.0
264.0,1412.5,547.0,436.0,71.0,52.0,515.0,1100.0,103.0,413.3333333333333,102.5
264.0,1412.5,547.0,440.5,62.5,52.0,515.0,1100.0,103.0,413.3333333333333,103.5
264.0,1412.5,547.0,445.0,58.5,52.0,515.0,1050.0,103.0,413.3333333333333,111.0
264.0,1412.5,547.0,445.0,56.0,52.0,515.0,1000.0,103.0,413.3333333333333,113.0
264.0,1412.5,547.0,451.0,55.0,52.0,515.0,1000.0,103.0,413.3333333333333,113.0
264.0,1412.5,547.0,452.0,55.0,52.0,515.0,995.0,103.0,413.3333333333333,113.0
264.0,1412.5,547.0,456.0,52.5,52.0,515.0,987.5,103.0,413.3333333333333,113.0
264.0,1412.5,547.0,460.0,49.5,52.0,515.0,972.0,103.0,413.3333333333333,112.0
264.0,1412.5,547.0,460.0,44.0,52.0,515.0,969.0,103.0,413.3333333333333,111.5
264.0,1412.5,547.0,462.0,44.0,52.0,515.0,969.0,103.0,413.3333333333333,111.0
264.0,1412.5,547.0,462.0,44.0,52.0,515.0,969.0,103.0,413.3333333333333,111.0
264.0,1412.5,547.0,462.0,44.0,52.0,515.0,955.0,103.0,413.3333333333333,111.0
264.0,1412.5,547.0,462.0,44.0,52.0,515.0,955.0,103.0,413.3333333333333,111.0
264.0,1412.5,547.0,462.0,44.0,52.0,515.0,951.5,103.0,413.3333333333333,111.0
264.0,1412.5,547.0,464.0,44.0,52.0,515.0,950.0,103.0,413.3333333333333,111.0
264.0,1412.5,547.0,464.0,43.5,52.0,515.0,950.0,103.0,413.3333333333333,111.0
264.0,1412.5,547.0,464.0,43.0,52.0,515.0,948.0,103.0,413.3333333333333,111.0
264.0,1412.5,547.0,472.0,41.0,52.0,515.0,946.5,103.0,413.3333333333333,109.5
264.0,1412.5,547.0,480.0,41.0,52.0,515.0,947.5,103.0,413.3333333333333,109.0
264.0,1412.5,547.0,480.0,41.0,52.0,515.0,955.5,103.0,413.3333333333333,109.0
264.0,1412.5,547.0,485.0,41.0,52.0,515.0,1034.5,103.0,413.3333333333333,109.0
264.0,1412.5,547.0,487.5,41.0,52.0,515.0,1156.0,103.0,413.3333333333333,108.0
264.0,1412.5,547.0,495.0,40.0,52.0,515.0,1375.5,103.0,413.3333333333333,105.5
264.0,1412.5,547.0,521.0,41.0,52.0,515.0,1705.0,103.0,413.3333333333333,100.0
264.0,1412.5,547.0,521.0,40.0,52.0,515.0,1820.0,103.0,413.3333333333333,92.5
264.0,1412.5,547.0,535.0,39.0,52.0,515.0,1820.0,103.0,413.3333333333333,90.0
264.0,1412.5,547.0,535.0,39.0,52.0,515.0,1820.0,103.0,413.3333333333333,94.5
264.0,1412.5,547.0,535.0,39.0,52.0,515.0,1820.0,103.0,413.3333333333333,104.5
264.0,1412.5,547.0,540.0,39.0,52.0,515.0,1820.0,103.0,413.3333333333333,115.0
264.0,1412.5,547.0,540.0,39.0,52.0,515.0,1820.0,103.0,413.3333333333333,128.0
264.0,1412.5,547.0,540.0,39.0,52.0,515.0,1820.0,103.0,413.3333333333333,135.5
264.0,1412.5,547.0,540.0,39.0,52.0,515.0,1820.0,103.0,413.3333333333333,130.0
264.0,1412.5,547.0,540.0,42.5,52.0,515.0,1820.0,103.0,413.3333333333333,129.5
264.0,1412.5,547.0,540.0,49.5,52.0,515.0,1820.0,103.0,413.3333333333333,129.0
264.0,1412.5,547.0,540.0,50.5,52.0,515.0,1820.0,103.0,413.3333333333333,129.0
264.0,1412.5,547.0,540.0,48.0,52.0,515.0,1820.0,103.0,413.3333333333333,129.0
264.0,1412.5,547.0,540.0,46.5,52.0,515.0,1820.0,103.0,413.3333333333333,129.0
264.0,1412.5,547.0,540.0,45.5,52.0,515.0,1820.0,103.0,413.3333333333333,126.0
264.0,1412.5,547.0,540.0,46.0,52.0,515.0,1820.0,103.0,413.3333333333333,122.5
264.0,1412.5,547.0,540.0,46.0,52.0,515.0,1820.0,103.0,413.3333333333333,120.0
