DATE,Tun
15/12/2010,0.0056963
16/12/2010,0.0014973
17/12/2010,0.0013294
20/12/2010,-0.0010805
21/12/2010,0.0008278
22/12/2010,-0.0008812
23/12/2010,-0.0037136
24/12/2010,0.0031157
29/12/2010,-0.0075092
30/12/2010,0.0066004
31/12/2010,0.0060778
04/01/2011,0.0082054
05/01/2011,0.006156
06/01/2011,-0.0021162
07/01/2011,0.0049953
31/01/2011,-0.0266609
02/02/2011,0.000845
04/02/2011,0.0313702
07/02/2011,0.0282555
08/02/2011,-0.0068254
09/02/2011,0.0060701
10/02/2011,-0.0085945
11/02/2011,-0.0145016
14/02/2011,-0.0071783
16/02/2011,-0.0126143
17/02/2011,-0.0103664
18/02/2011,0.0079699
22/02/2011,-0.0281591
23/02/2011,-0.0233965
24/02/2011,-0.0252409
25/02/2011,-0.0266171
08/03/2011,0.0352125
09/03/2011,0.0010777
10/03/2011,-0.0041752
11/03/2011,0.0031481
14/03/2011,-0.006587
15/03/2011,-0.0030079
16/03/2011,-0.0031528
17/03/2011,0.0029221
22/03/2011,0.0021086
23/03/2011,0.0102148
24/03/2011,-0.0029011
25/03/2011,0.0003977
28/03/2011,0.0016356
29/03/2011,-0.0101175
30/03/2011,-0.0062609
31/03/2011,0.0005293
01/04/2011,0.0021048
05/04/2011,0.0018663
06/04/2011,-0.0010271
07/04/2011,-0.0020037
08/04/2011,-0.0028515
11/04/2011,-0.0039186
12/04/2011,-0.0085001
13/04/2011,-0.009304
14/04/2011,-0.0209227
15/04/2011,-0.0042171
18/04/2011,0.0051308
19/04/2011,0.008934
20/04/2011,0.0054407
21/04/2011,-0.003231
26/04/2011,0.0012455
27/04/2011,-0.008584
28/04/2011,-0.0010672
29/04/2011,-0.0048037
03/05/2011,-0.0040064
04/05/2011,0.0007658
05/05/2011,-0.0139942
06/05/2011,0.0031719
09/05/2011,-0.0083065
10/05/2011,-0.0037432
11/05/2011,-0.0012455
12/05/2011,-0.0068836
13/05/2011,0.0002308
16/05/2011,0.0096054
17/05/2011,-0.0026016
18/05/2011,-0.0058908
19/05/2011,0.0080919
20/05/2011,-0.0002441
23/05/2011,-0.0013933
