DATE,Msem
15/12/2010,-0.0004387
16/12/2010,-0.000392
17/12/2010,0.0001726
20/12/2010,-0.0034175
21/12/2010,-0.0062847
22/12/2010,0.009582
23/12/2010,0.0076361
24/12/2010,-0.0014687
29/12/2010,0.0051579
30/12/2010,0.0081029
31/12/2010,0.0080528
04/01/2011,0.006813
05/01/2011,0.0048795
06/01/2011,0.0043063
07/01/2011,-0.0023589
31/01/2011,-0.0077662
02/02/2011,0.0026546
04/02/2011,-0.0005374
07/02/2011,-0.0023541
08/02/2011,-0.0045023
09/02/2011,0.0034046
10/02/2011,0.0094194
11/02/2011,0.0053811
14/02/2011,0.0102425
16/02/2011,-0.0004439
17/02/2011,-0.0030494
18/02/2011,-0.0032578
22/02/2011,-0.0120511
23/02/2011,-0.0012097
24/02/2011,-0.0014968
25/02/2011,-0.0004191
08/03/2011,-0.0005016
09/03/2011,-0.0033698
10/03/2011,0.0001941
11/03/2011,-0.0016112
14/03/2011,-0.002635
15/03/2011,-0.000761
16/03/2011,-0.0083919
17/03/2011,-0.0164995
22/03/2011,0.012466
23/03/2011,0.0039344
24/03/2011,0.0052967
25/03/2011,0.0016475
28/03/2011,0.0012136
29/03/2011,0.0001354
30/03/2011,0.0016274
31/03/2011,0.0034361
01/04/2011,0.0001597
05/04/2011,-0.0011721
06/04/2011,0.0032735
07/04/2011,0.0033131
08/04/2011,0.0050397
11/04/2011,0.0067463
12/04/2011,-0.0012946
13/04/2011,0.0032673
14/04/2011,0.0034909
15/04/2011,-0.0014
18/04/2011,-0.0029178
19/04/2011,-0.000196
20/04/2011,0.0001764
21/04/2011,0.0019512
26/04/2011,-0.0009475
27/04/2011,0.0003257
28/04/2011,0.0010438
29/04/2011,0.0009313
03/05/2011,0.0020933
04/05/2011,-0.0030007
05/05/2011,-0.0044861
06/05/2011,0.0022068
09/05/2011,0.0060058
10/05/2011,0.009129
11/05/2011,0.0091553
12/05/2011,-0.0005841
13/05/2011,0.0024443
16/05/2011,0.0019274
17/05/2011,-0.0014396
18/05/2011,-0.0047112
19/05/2011,-0.0025692
20/05/2011,-0.0029535
23/05/2011,-0.0017395
24/05/2011,-0.0005178
26/05/2011,-0.0023046
27/05/2011,0.0013595
31/05/2011,-0.0020566
02/06/2011,-0.0010047
03/06/2011,0.0010576
07/06/2011,0.0017891
08/06/2011,-0.0017214
09/06/2011,0.0024848
10/06/2011,-0.0002398
13/06/2011,-0.0002546
14/06/2011,0.0006771
15/06/2011,0.0009308
16/06/2011,0.001471
17/06/2011,0.0020614
20/06/2011,-0.0029526
21/06/2011,-0.0017605
22/06/2011,0.0039964
23/06/2011,-0.0028687
24/06/2011,0.0014138
27/06/2011,0.0002012
28/06/2011,-0.0006371
29/06/2011,0.0016465
30/06/2011,0.0033665
05/07/2011,0.0029421
06/07/2011,-0.0025415
07/07/2011,0.0005908
08/07/2011,-0.0001478
12/07/2011,-0.0045667
13/07/2011,-0.0077424
14/07/2011,-0.0029793
15/07/2011,0.001452
18/07/2011,-0.0037241
19/07/2011,-0.0007014
20/07/2011,-0.0028071
21/07/2011,-0.0007381
22/07/2011,0.00173
26/07/2011,0.0008636
27/07/2011,-0.0034451
28/07/2011,-0.0039611
29/07/2011,0.001842
02/08/2011,-0.0008755
03/08/2011,-0.0046453
04/08/2011,0.0043454
05/08/2011,-0.012609
08/08/2011,-0.0323238
10/08/2011,0.033112
11/08/2011,-0.0111122
12/08/2011,0.0090408
15/08/2011,0.0001793
16/08/2011,0.0011201
17/08/2011,-0.0033183
18/08/2011,-0.0023732
19/08/2011,-0.008194
24/08/2011,0.0041103
26/08/2011,-0.0015335
29/08/2011,0.0017753
06/09/2011,-0.0115504
07/09/2011,0.0012221
08/09/2011,0.0077591
09/09/2011,-0.0079818
13/09/2011,-0.0018005
14/09/2011,-0.0095544
15/09/2011,-0.0059423
16/09/2011,0.0018601
19/09/2011,-0.0001631
20/09/2011,-0.0033388
22/09/2011,-0.0030961
23/09/2011,-0.015954
26/09/2011,-0.003561
27/09/2011,0.0065241
28/09/2011,0.0130916
29/09/2011,-0.0000582
30/09/2011,0.0074034
03/10/2011,-0.0035787
04/10/2011,0.0002375
05/10/2011,-0.004179
06/10/2011,-0.002861
07/10/2011,0.0014501
11/10/2011,0.0002813
14/10/2011,0.0018535
19/10/2011,-0.0022182
21/10/2011,0.0023403
24/10/2011,0.0049853
27/10/2011,-0.005034
28/10/2011,-0.0055137
31/10/2011,-0.0056767
03/11/2011,0.00316
04/11/2011,0.0018883
08/11/2011,0.0007901
09/11/2011,0.0003715
10/11/2011,0.0002408
14/11/2011,0.0061469
15/11/2011,-0.0030503
16/11/2011,-0.0049233
17/11/2011,-0.0000577
21/11/2011,-0.0018864
22/11/2011,-0.0011134
23/11/2011,-0.0014582
25/11/2011,-0.0031614
28/11/2011,-0.00214
30/11/2011,-0.0091796
05/12/2011,0.003191
06/12/2011,0.0017233
07/12/2011,-0.0001717
08/12/2011,-0.0025082
09/12/2011,0.0002365
13/12/2011,0.0021782
14/12/2011,-0.001904
15/12/2011,0.0023661
16/12/2011,-0.0033836
19/12/2011,-0.0004153
20/12/2011,-0.0025802
21/12/2011,0.0045085
22/12/2011,0.0008497
23/12/2011,0.0054951
28/12/2011,0.0059624
30/12/2011,0.0035439
03/01/2012,-0.0003605
04/01/2012,0.0012813
05/01/2012,0.000762
06/01/2012,0.0012517
10/01/2012,-0.0021205
11/01/2012,-0.0035777
12/01/2012,-0.0034089
13/01/2012,0.0010681
17/01/2012,-0.0001974
18/01/2012,-0.0044951
19/01/2012,-0.0005636
20/01/2012,-0.0056829
24/01/2012,-0.0028915
25/01/2012,-0.0056124
26/01/2012,-0.0006533
27/01/2012,-0.0003324
